,上证50指数,沪深300,红利低波,中证1000,中证2000,标普500,30年国债,中证10年国债,2年国债,城投债ETF
2025-02,-0.08094046281255325,-0.07370629474418043,-0.0825687679354924,-0.12378718128778658,-0.1303923940220803,-0.08594806010482736,-0.03754131173306587,-0.018149983873560874,-0.005274146706864627,-0.02060911317454262
2025-03,-0.08077132620030585,-0.07406148288579044,-0.08248778623143159,-0.12526646267270117,-0.13233754115488025,-0.08592843959446762,-0.0388007728611606,-0.018861483630253056,-0.005529325670802676,-0.02056986854734418
2025-04,-0.08108490768270567,-0.07461619074303162,-0.08257473606828883,-0.12467044609660403,-0.1313763115271573,-0.08579220061628927,-0.0385695435177165,-0.01850114765088012,-0.005478845301014158,-0.020507378732971347
2025-05,-0.08134581914735085,-0.07468100265202589,-0.0824751058642803,-0.12407964253052739,-0.1306908065586458,-0.08557100345136777,-0.03948161966765478,-0.018650608940486032,-0.00549321897383673,-0.020300211882938988
2025-06,-0.08104240404910275,-0.07427017891840516,-0.08228675411145926,-0.12405458244617157,-0.13119425480563054,-0.08551636150800936,-0.03861301968671401,-0.018470057763759335,-0.0054720413797219565,-0.02026132388355438
2025-07,-0.0814937229682371,-0.07546759289276471,-0.08238818533785013,-0.1245239058480501,-0.1315410099563672,-0.08533999429476069,-0.03857167639169721,-0.018423956142205485,-0.005482931695512165,-0.020071398817963573
2025-08,-0.08130506359745444,-0.07552965323106407,-0.08236669488349159,-0.12488348017680971,-0.13193344278289845,-0.08549647855640548,-0.03806748304279157,-0.01822660428492227,-0.005400341757420081,-0.02001188037751413
